"Site","lat_WGS84","long_WGS84","ESP","DEM_30","Aspect","MrRTF","SlopeDeg","rad_k","rad_th","rad_u","NDVI_50","RED_50","rain","temp"
"899_Macquarie_313_1",-31.94495,147.9355,18.701184015891,210.1992,1.32611268483835,6.513568,0.1392269,0.9526625,8.5295,1.156709,0.1820408,1292.5,471.2112,17.51417
"397_APSOIL_620-YP_1",-30.233,145.917,13.5438355940156,108.918853759766,3.50055001690943,5.65672636032104,0.930568814277649,0.709985136985779,8.02908897399902,1.00423455238342,0.139617070555687,1955.33337402344,361.490692138672,19.6202049255371
"106_1000448_224_1",-35.42232,147.2843,1.93078071889825,283,3.99325133017284,0,2.57181787490845,0.770734548568726,13.0480613708496,2.12550759315491,0.380432635545731,969,585.280883789062,14.7280788421631
"106_1000935_106_1",-30.93197,150.1395,14.4651518125309,282,0.574587347964837,0,1.806771,0.5288477,6.022323,0.5695949,0.1893597,1047.706,592.2923,17.49294
"899_CAN_CP59_1",-35.19844,149.1012,6.9464765244897,593,5.30635379830507,0,3.0988655090332,1.60837841033936,12.5654373168945,2.3447961807251,0.365427702665329,932.599975585938,643.354370117188,12.8248491287231
"203_NWRS_BIR08_1",-35.56517,142.9586,15.458246234252,63.9268569946289,0.315120932828607,2.61940908432007,0.846025407314301,0.862950801849365,7.26396894454956,0.965237379074097,0.146009132266045,1541.5,325.546081542969,15.6974105834961
"399_EDGEROI_ed224_1",-30.20866,149.591,13.6016003207912,200.9882,2.83995612561387,5.518292,0.1297679,1.117165,7.306696,0.8086294,0.3476611,1061.333,618.6721,18.74915
"106_1000212_52_1",-31.202349284,150.325168834,0.811617614332604,375.199645996094,1.80266138446738,1.50819599628448,3.51839804649353,1.37775683403015,5.00250291824341,0.788634300231934,0.345870554447174,1059.33337402344,621.298156738281,16.691104888916
"399_TBL_B826_1",-27.49842,150.0178,25.8541894751273,306.007141113281,4.47933042706968,7.69216775894165,0.838344156742096,0.309217572212219,9.96849060058594,1.2665456533432,0.318280220031738,994,581.928771972656,19.1983299255371
"399_EDGEROI_ed104_1",-30.11376,149.9506,14.293890110025,389.902557373047,6.16726110072174,1.54181241989136,2.95996451377869,0.770260393619537,10.3311939239502,1.31092047691345,0.29514941573143,1186,687.647583007812,17.566162109375
"397_APSOIL_849_1",-28.298756,149.30578,19.0801945179969,229.771820068359,5.66158220346637,7.63257884979248,1.16484081745148,0.407883763313293,10.6641311645508,1.31688451766968,0.197024017572403,1277.66662597656,537.746704101562,19.629093170166
"203_LCHUN_LCHUN01_1",-36.5953,144.5887,4.45686355796802,139.5675,4.66865801064672,0,0.483847,1.024071,13.43939,1.615981,0.505227,730.8,455.1706,14.47915
